"villa_maria;db_villa_maria_public;public;barrios;;barrios;Barrios;orden:505,barrios, barrio;;4326;gid;;;gid,geom, nombre;Barrios de la ciudad de Villa María.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;establecimientos_educativos ;;establecimientos_educativos;Escuelas;orden:600,educacion,escuela, colegio;;4326;gid;;;gid,geom, establecim, dependenci, calle, nro, modalidad, oferta;Establecimientos educativos modalidad inicial, especial, primaria, secundaria y terciaria no universitaria;point_villamaria;"
"villa_maria;db_villa_maria_public;public;instituciones_universitarias;;instituciones_universitarias;Universidades;orden:601,universidad,educacion,facultad;;4326;gid;;;gid,geom, establecim, calle, nro, modalidad, link;Establecimientos universitarios;point_villamaria;"
"villa_maria;db_villa_maria_public;public;centros_culturales;;centros_culturales;Centros culturales;orden:602,cultura,museo,galeria;;4326;gid;;;gid,geom, nombre, dependencia;Centros culturales de la Municipalidad de Villa María;point_villamaria;"
"villa_maria;db_villa_maria_public;public;deporte_recreacion;;deporte_recreacion;Deporte y recreación;orden:700,deporte,polideportivo,club;;4326;gid;;;gid,geom, nombre, dependencia;Centros deportivos, recreativos y de esparcimiento.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;tratamiento_residuos;;tratamiento_residuos;Tratamiento de residuos;orden:800,servicios,residuos,basura;;4326;gid;;;gid,geom, nombre;Instalaciones donde se realiza algún tipo de clasificación o tratamiento a los residuos. Incluye plantas de residuos patológicos plantas recicladoras, entre otros.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;cementerios;;cementerios;Cementerios;orden:900,cementerios,sepultura,nicho;;4326;gid;;;gid,geom, nombre;Espacio público o privado reservado para dar sepultura. Incluye cementerio parque, entre otros.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;areas_cementerios;;areas_cementerios;Área de cementerios;orden:901,cementerios,sepultura,nicho;;4326;gid;;;gid,geom, objeto;Espacio público o privado reservado para dar sepultura. Incluye cementerio parque, entre otros.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;espacios_verdes;;espacios_verdes;Espacios verdes;orden:902,plaza,parque,plazoleta;;4326;gid;;;gid,geom, nombre;Espacios verdes, plazas, parques naturales.;polygon_villamaria;"
"villa_maria;db_villa_maria_public;public;seguridad;;seguridad;Seguridad;orden:1000,seguridad,control,policia;;4326;gid;;;gid,geom, nombre, direccion;Construcción destinada al asiento de la autoridad encargada de la seguridad y del cumplimieto de penas previstas en sentencias judiciales.;point_villamaria;"
"villa_maria;db_villa_maria_public;public;emergencias;;emergencias;Emergencias;orden:1001,emergencias,urgencias;;4326;gid;;;gid,geom, nombre, direccion;Centros destinados a la extinción de incendios y emergncias médicas y sanitarias;point_villamaria;"
"villa_maria;db_villa_maria_public;public;semaforos;;semaforos;Semáforos;orden: 1002, semaforos;;4326;gid;;;gid,geom;Semáforos;point_villamaria;"
"villa_maria;db_villa_maria_public;public;cuadrantes;;cuadrantes;Cuadrantes;orden:1003,cuadrantes,patrullaje,prevencion;;4326;gid;;;gid,geom, nombre;Cuadrantes de seguridad que permiten un mejor patrullaje preventivo.;polygon_villamaria;"
